0,10,2
0,12,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
2,8,2
2,12,2
3,8,2
3,13,2
4,8,2
4,9,2
4,13,2
4,16,2
4,17,2
5,4,2
5,5,2
5,9,2
5,10,2
5,11,2
5,12,2
5,13,2
5,15,2
5,16,2
5,17,2
6,1,2
6,4,2
6,5,2
6,15,2
6,16,2
7,1,2
7,3,2
8,2,2
8,5,2
8,6,2
9,1,2
9,6,2
9,7,2
10,1,2
10,3,2
10,4,2
10,5,2
10,7,2
10,16,2
11,1,2
11,2,2
14,9,2
14,10,2
15,10,2
16,1,2
16,2,2
16,3,2
16,4,2
16,5,2
16,9,2
17,0,2
17,1,2
2,9,3
2,10,3
2,11,3
3,9,3
3,10,3
3,11,3
3,12,3
4,10,3
4,11,3
4,12,3
8,3,3
8,4,3
9,2,3
9,3,3
9,4,3
9,5,3
10,2,3
10,6,3
1,0,4
1,1,4
1,3,4
2,0,4
2,1,4
2,2,4
2,3,4
2,4,4
2,5,4
3,0,4
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
4,2,4
5,1,4
5,2,4
6,0,4
7,18,4
7,19,4
8,17,4
8,18,4
8,19,4
9,12,4
9,13,4
9,14,4
9,15,4
9,16,4
9,17,4
9,18,4
10,8,4
10,12,4
10,13,4
10,14,4
10,15,4
11,6,4
11,7,4
11,8,4
11,9,4
11,12,4
11,13,4
11,14,4
12,2,4
12,3,4
12,4,4
12,5,4
12,6,4
12,7,4
12,8,4
12,9,4
13,0,4
13,1,4
13,2,4
13,3,4
13,4,4
13,5,4
13,6,4
13,7,4
13,8,4
14,2,4
14,3,4
14,4,4
14,5,4
